,chipset,mac,sensitive,serverTime,serviceNumber,value,tags,Distance,Battery,Latitude,Longitude,Date,Time
0,Green1,9F:43:45:5F:F1:42,,2022-07-05T03:50:33.640550,0,"['6553.50', '4.18', '-15.885916', '-47.811715']",['iisc'],6553.50,4.18,-15.885916,-47.811715,07/05/22,03:50:33
1,Green1,9F:43:45:5F:F1:42,,2022-07-05T03:37:00.014182,0,"['6553.50', '4.17', '-15.885953', '-47.811756']",['iisc'],6553.50,4.17,-15.885953,-47.811756,07/05/22,03:37:00
2,Green1,9F:43:45:5F:F1:42,,2022-07-05T03:08:57.486800,0,"['3.44', '4.12', '-15.885957', '-47.811803']",['iisc'],3.44,4.12,-15.885957,-47.811803,07/05/22,03:08:57
3,Green1,9F:43:45:5F:F1:42,,2022-07-04T16:52:30.902539,0,"['13.74', '4.10', '-15.885986', '-47.811838']",['iisc'],13.74,4.10,-15.885986,-47.811838,07/04/22,16:52:30
4,Green1,9F:43:45:5F:F1:42,,2022-07-04T16:10:22.912108,0,"['14.05', '4.12', '-15.885967', '-47.812106']",['iisc'],14.05,4.12,-15.885967,-47.812106,07/04/22,16:10:22
5,Green1,9F:43:45:5F:F1:42,,2022-07-04T15:28:26.927594,0,"['94.64', '4.12', '-15.886026', '-47.811762']",['iisc'],94.64,4.12,-15.886026,-47.811762,07/04/22,15:28:26
6,Green1,9F:43:45:5F:F1:42,,2022-07-04T14:46:37.605172,0,"['14.45', '4.12', '-15.886049', '-47.811833']",['iisc'],14.45,4.12,-15.886049,-47.811833,07/04/22,14:46:37
7,Green1,9F:43:45:5F:F1:42,,2022-07-04T14:04:51.250694,0,"['14.24', '4.12', '-15.886053', '-47.811869']",['iisc'],14.24,4.12,-15.886053,-47.811869,07/04/22,14:04:51
8,Green1,9F:43:45:5F:F1:42,,2022-07-04T13:23:02.970632,0,"['94.45', '4.12', '-15.886019', '-47.811830']",['iisc'],94.45,4.12,-15.886019,-47.811830,07/04/22,13:23:02
9,Green1,9F:43:45:5F:F1:42,,2022-07-04T12:40:43.866456,0,"['14.21', '4.13', '-15.885954', '-47.811711']",['iisc'],14.21,4.13,-15.885954,-47.811711,07/04/22,12:40:43
10,Green1,9F:43:45:5F:F1:42,,2022-07-03T13:32:15.629662,0,"['14.55', '4.09', '-15.885935', '-47.811955']",['iisc'],14.55,4.09,-15.885935,-47.811955,07/03/22,13:32:15
11,Green1,9F:43:45:5F:F1:42,,2022-07-03T12:50:04.198377,0,"['13.83', '4.06', '-15.886143', '-47.811727']",['iisc'],13.83,4.06,-15.886143,-47.811727,07/03/22,12:50:04
12,Green1,9F:43:45:5F:F1:42,,2022-07-03T12:07:45.350040,0,"['14.44', '4.13', '-15.885828', '-47.811780']",['iisc'],14.44,4.13,-15.885828,-47.811780,07/03/22,12:07:45
13,Green1,9F:43:45:5F:F1:42,,2022-07-03T11:25:52.059224,0,"['14.46', '4.13', '-15.885903', '-47.811788']",['iisc'],14.46,4.13,-15.885903,-47.811788,07/03/22,11:25:52
14,Green1,9F:43:45:5F:F1:42,,2022-07-03T10:44:01.402534,0,"['14.51', '4.13', '-15.885799', '-47.811815']",['iisc'],14.51,4.13,-15.885799,-47.811815,07/03/22,10:44:01
15,Green1,9F:43:45:5F:F1:42,,2022-07-03T10:01:55.876511,0,"['14.53', '4.14', '-15.885830', '-47.811624']",['iisc'],14.53,4.14,-15.885830,-47.811624,07/03/22,10:01:55
16,Green1,9F:43:45:5F:F1:42,,2022-07-03T09:19:23.839482,0,"['14.54', '4.14', '-15.885841', '-47.811780']",['iisc'],14.54,4.14,-15.885841,-47.811780,07/03/22,09:19:23
17,Green1,9F:43:45:5F:F1:42,,2022-07-03T08:37:21.685260,0,"['14.46', '4.13', '-15.885787', '-47.811717']",['iisc'],14.46,4.13,-15.885787,-47.811717,07/03/22,08:37:21
18,Green1,9F:43:45:5F:F1:42,,2022-07-03T07:55:11.202597,0,"['14.62', '4.13', '-15.885756', '-47.812080']",['iisc'],14.62,4.13,-15.885756,-47.812080,07/03/22,07:55:11
19,Green1,9F:43:45:5F:F1:42,,2022-07-03T07:13:11.217732,0,"['14.61', '4.13', '-15.885818', '-47.811889']",['iisc'],14.61,4.13,-15.885818,-47.811889,07/03/22,07:13:11
20,Green1,9F:43:45:5F:F1:42,,2022-07-03T06:31:19.989603,0,"['14.60', '4.13', '-15.885711', '-47.811738']",['iisc'],14.60,4.13,-15.885711,-47.811738,07/03/22,06:31:19
